Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Tamilnad Mercantile Bank,https://scanx.trade/company/tamilnad-mercantile-bank-ltd,504.9,-1.44%,512.3,"73,922","7,995.16",6.68,9.52,557,401,1.42%,17.86%,9.78%,4.66%,-0.93%,0.86,0.01%,14.86%,6.87%,69.35,496.94,451.73,48.57,50.00%,65.00%
Campus Activewear,https://scanx.trade/company/campus-activewear-ltd,261.5,-,261.5,"1,41,911","7,988.10",65.35,29.66,337.6,210,-2.43%,-3.04%,-11.33%,-35.50%,-30.98%,18.59,-,25.20%,32.89%,4.97,272.26,267.71,43.34,60.00%,75.00%
Lloyds Enterprises,https://scanx.trade/company/lloyds-enterprises-ltd,62.52,-7.61%,67.79,"63,47,958","7,953.34",22.83,41.17,88.16,34.09,8.32%,-4.80%,51.56%,26.56%,26.56%,2.61,0.13%,-,5.32%,-,63.48,62.15,49.35,50.00%,60.00%
Tejas Networks,https://scanx.trade/company/tejas-networks-ltd,448.75,-0.72%,453,"3,67,752","7,935.84",-19.71,24.06,"1,258.80",440,-7.28%,-23.83%,-63.44%,-19.94%,245.33%,2.42,0.56%,2.00%,22.45%,9.75,507.11,636.11,33.95,50.00%,75.00%
GMR Power & Urban Infra,https://scanx.trade/company/gmr-power-urban-infra-ltd,110.89,-0.96%,111.97,"36,95,883","7,926.82",9.66,14.23,141.01,89.36,-9.91%,-5.83%,11.50%,411.01%,143.18%,5.68,-,-41.56%,31.30%,-,117.81,115.39,41.21,50.00%,70.00%
Voltamp Transformers,https://scanx.trade/company/voltamp-transformers-ltd,"7,777.50",-1.39%,"7,801.00","13,581","7,868.59",24.28,2.59,"10,565.00","6,051.00",-5.02%,8.66%,-23.93%,204.22%,544.74%,4.85,1.27%,22.71%,27.10%,332.14,"7,795.36","7,965.66",44.86,50.00%,75.00%
Manorama Industries,https://scanx.trade/company/manorama-industries-ltd,"1,315.20",-0.90%,"1,329.70","62,686","7,852.87",46.43,18.01,"1,760.00",740.5,0.87%,-10.19%,20.59%,572.94%,541.03%,14.09,0.05%,11.90%,36.35%,7.06,"1,360.49","1,340.03",43.63,50.00%,70.00%
Rashtriya Chemicals & Fertilizers,https://scanx.trade/company/rashtriya-chemicals-and-fertilizers-ltd,141.89,0.50%,141.24,"12,67,702","7,827.90",24.93,33.21,184.4,110.8,-1.71%,-5.80%,-16.98%,25.12%,170.27%,1.58,0.94%,21.05%,9.29%,2.85,144.86,145.91,50.71,63.97%,80.00%
Jayaswal Neco Industries,https://scanx.trade/company/jayaswal-neco-industries-ltd,80.07,-0.81%,80.77,"60,94,398","7,774.78",20.8,22.81,81.59,28,14.04%,11.30%,99.03%,229.51%,1439.81%,3.04,-,-4.41%,2.00%,2.3,73.68,53.45,63.7,11.00%,-
Inox Green Energy Services,https://scanx.trade/company/inox-green-energy-services-ltd,211.72,0.63%,210,"9,76,965","7,770.48",126.69,41.09,279,104,-4.33%,7.87%,25.95%,371.54%,258.24%,3.99,-,-,2.44%,-,232.59,177.08,49.61,-,-
Dilip Buildcon,https://scanx.trade/company/dilip-buildcon-ltd,476.85,2.39%,469.9,"16,68,154","7,746.18",8.24,-2.85,585,363.15,7.69%,-10.77%,3.95%,121.53%,22.50%,1.31,0.19%,-0.03%,17.06%,11.27,468.13,479.65,56.21,65.02%,80.00%
Sharda Cropchem,https://scanx.trade/company/sharda-cropchem-ltd,857.6,-1.66%,868,"1,09,623","7,737.31",17.42,22.69,"1,181.00",452.25,8.45%,0.34%,10.87%,90.94%,218.16%,2.94,1.03%,1.43%,13.89%,16.38,848.73,789.11,46.08,50.00%,65.00%
Sri Lotus Developers & Realty,https://scanx.trade/company/sri-lotus-developersrealty-ltd,157.28,0.63%,157.24,"4,78,123","7,686.65",36.58,-2.85,218.49,150.5,-6.09%,-19.32%,-19.62%,-19.62%,-19.62%,4.38,-,-,31.18%,-,169.29,-,42.78,-,70.00%
Indian Metals & Ferro Alloys,https://scanx.trade/company/indian-metals-ferro-alloys-ltd,"1,422.30",0.44%,"1,421.00","2,55,369","7,673.89",23.06,-97.82,"1,480.00",549.8,15.41%,21.07%,63.29%,479.82%,925.23%,3.04,1.41%,17.50%,22.06%,73.62,"1,286.51",901.59,58.67,50.00%,70.00%
Karnataka Bank,https://scanx.trade/company/karnataka-bank-ltd,202.29,-1.78%,205.95,"17,70,638","7,647.69",6.79,9.52,220.4,162.2,1.74%,16.43%,-4.31%,42.51%,270.83%,0.65,2.42%,14.37%,6.07%,35.39,192.06,187.64,52.55,69.88%,80.00%
RateGain Travel,https://scanx.trade/company/rategain-travel-ltd,645.85,-0.64%,649,"1,22,175","7,626.18",36.68,40.47,762.7,412.85,-6.34%,-2.00%,-9.06%,136.71%,89.93%,4.22,-,9.64%,15.98%,14.07,671.54,541.94,36.6,50.00%,65.00%
Pricol,https://scanx.trade/company/pricol-ltd,622.4,-1.41%,631.95,"2,43,850","7,585.90",40.49,176.6,693.25,367.85,-2.72%,12.77%,8.05%,234.80%,1200.73%,6.8,-,16.64%,20.11%,12.65,594.94,491.84,50.07,50.00%,70.00%
BlueStone Jewellery & Lifestyle,https://scanx.trade/company/bluestone-jewellerylifestyle-ltd,493.3,-1.64%,502.95,"1,28,287","7,464.63",-46.05,15.55,793,493.6,-10.66%,-16.27%,-9.65%,-9.65%,-9.65%,4.55,-,-,-0.78%,-,596.58,-,30.9,-,60.00%
MOIL,https://scanx.trade/company/moil-manganese-ore-ltd,364.85,4.90%,347.8,"39,66,852","7,424.16",23.48,-97.82,405.6,274.05,15.17%,0.65%,7.80%,134.33%,162.95%,2.62,1.62%,8.98%,12.24%,17.65,346.97,350.75,66.69,64.67%,80.00%
Power Mech Projects,https://scanx.trade/company/power-mech-projects-ltd,"2,343.40",-0.61%,"2,347.00","23,759","7,408.96",19.88,14.23,"3,415.00","1,700.00",-0.08%,-17.58%,-7.11%,138.46%,1005.48%,3.26,0.05%,-,23.18%,-,"2,405.33","2,771.57",50.91,50.00%,70.00%
Sudarshan Chemical Industries,https://scanx.trade/company/sudarshan-chemical-industries-ltd,941.6,-1.25%,950.2,"91,353","7,400.64",99.81,-67.35,"1,603.00",796.15,-5.81%,-38.07%,-16.82%,146.62%,100.36%,2.13,0.47%,31.11%,2.16%,17.32,"1,063.44","1,182.16",32.47,50.00%,75.00%
Dodla Dairy,https://scanx.trade/company/dodla.ltd,"1,225.40",-0.20%,"1,216.10","33,704","7,392.57",28.5,18.01,"1,525.00",965.5,2.49%,-9.76%,-1.26%,143.91%,100.92%,4.84,0.41%,14.64%,24.26%,33.08,"1,240.92","1,264.38",47.92,66.85%,-
Maharashtra Seamless,https://scanx.trade/company/maharashtra-seamless-ltd,551.2,-0.03%,552.55,"1,90,670","7,386.04",9.41,22.81,773.8,540.5,-3.48%,-8.70%,-22.52%,84.26%,231.09%,1.12,1.82%,16.61%,14.83%,65.23,566.94,646.85,42.17,66.60%,80.00%
Diamond Power Infrastructure,https://scanx.trade/company/diamond-power-infrastructure-ltd,139.93,-0.83%,140.65,"7,56,847","7,373.91",120.51,22.62,183.5,81.5,-0.58%,-12.84%,-8.42%,5905.58%,116508.34%,-10.4,-,-,3.49%,-,145.62,130.13,42.89,36.00%,-
MTAR Technologies,https://scanx.trade/company/mtar-technologies-ltd,"2,394.10",-2.31%,"2,449.50","2,95,784","7,364.15",168.52,38.24,"2,719.00","1,155.60",-6.17%,24.10%,42.78%,51.32%,121.16%,10.14,-,16.68%,11.16%,13.07,"2,427.07","1,769.31",49.21,50.00%,75.00%
Max Estates,https://scanx.trade/company/max-estates-ltd,456.2,1.25%,450.05,"34,404","7,346.94",147.35,-2.85,630,341.1,-0.37%,-0.08%,-19.93%,61.17%,61.17%,3.08,-,-3.80%,1.94%,-,466.24,458.86,48.17,50.00%,-
Thyrocare Technologies,https://scanx.trade/company/thyrocare-technologies-ltd,460.55,1.69%,453,"3,32,482","7,321.98",56.86,-84.21,536.66,219.33,-5.91%,14.54%,49.37%,122.22%,48.27%,13.48,1.54%,13.17%,26.01%,14.66,456.65,376.31,53.25,11.00%,75.00%
Pearl Global Industries,https://scanx.trade/company/pearl-global-industries-ltd,"1,591.20",-1.85%,"1,616.00","38,668","7,315.41",29.75,25.18,"1,993.30",875,-7.86%,17.67%,13.60%,725.31%,1556.64%,5.79,0.71%,20.69%,24.81%,41.17,"1,544.04","1,373.59",47.29,58.02%,75.00%
CSB Bank,https://scanx.trade/company/csb-bank-ltd,420.8,-0.07%,423.8,"4,17,656","7,300.28",11.77,9.52,447,272.75,-0.74%,17.51%,30.14%,77.03%,89.72%,1.62,-,14.90%,6.11%,31.58,410.56,379.11,60.84,70.55%,80.00%
Borosil Renewables,https://scanx.trade/company/borosil-renewables-ltd,547.35,0.55%,544.3,"1,67,841","7,289.93",-37.87,31.8,721,441.45,-6.79%,-6.95%,-5.53%,7.80%,136.54%,6.03,-,-,-3.59%,-,606.99,565.02,43.07,50.00%,70.00%
Garware Hi-Tech Films,https://scanx.trade/company/garware-polyester-ltd,"3,135.90",-1.52%,"3,180.00","35,814","7,285.45",23.67,13.6,"5,375.00","2,317.35",-17.01%,-0.96%,-39.13%,382.52%,269.47%,2.95,0.38%,8.95%,18.66%,106.73,"3,579.77","3,563.88",29.17,55.86%,-
Galaxy Surfactants,https://scanx.trade/company/galaxy-surfactants-ltd,"2,054.00",-0.82%,"2,070.90","6,342","7,282.41",25.67,205.33,"2,750.10","1,955.40",1.38%,-10.94%,-20.10%,-17.16%,5.65%,2.9,0.19%,13.83%,16.09%,86.31,"2,114.18","2,271.62",52.32,70.41%,60.00%
Happiest Minds Technologies,https://scanx.trade/company/happiest-minds-technologies-ltd,477.45,-1.36%,487,"3,14,984","7,270.36",37.76,40.47,773.8,474.2,-5.81%,-13.47%,-31.87%,-45.31%,37.57%,4.53,1.22%,16.78%,16.50%,15.18,499.76,573.65,38.8,70.37%,80.00%
Atlanta Electricals,https://scanx.trade/company/atlanta-electricals-ltd,940.45,-0.01%,940.1,"38,303","7,231.74",58.7,2.59,"1,097.85",782.1,-2.69%,14.22%,14.22%,14.22%,14.22%,9.25,-,-,43.12%,-,959.1,-,53.24,-,75.00%
Mrs. Bectors Food,https://scanx.trade/company/mrs-bectors-food-specialities-ltd,233.6,1.17%,232.6,"3,70,225","7,171.30",52.05,18.01,333.42,230,-9.39%,-12.87%,-27.89%,179.89%,96.57%,5.84,0.52%,16.55%,15.79%,23.96,259.12,280.56,35.54,50.00%,75.00%
Gujarat Narmada Valley Fert & Chem,https://scanx.trade/company/gnfc-ltd,487.85,-0.24%,490.1,"1,97,128","7,168.50",11.3,205.33,596.45,449,-0.01%,-2.67%,-16.25%,-7.90%,113.27%,0.83,3.68%,16.08%,8.25%,35.86,497.21,511.4,41.94,69.14%,80.00%
Tanla Platforms,https://scanx.trade/company/tanla-platforms-ltd,539.7,-1.39%,547.9,"1,70,639","7,157.36",15.15,40.47,794.4,409.35,-3.00%,-27.93%,-19.50%,-21.37%,-18.47%,3.21,2.23%,28.24%,27.29%,41.21,590,595.64,39.93,64.36%,80.00%
Kalpataru,https://scanx.trade/company/kalpatarultd,344.4,3.56%,332.55,"1,16,430","7,091.68",-138.26,-2.85,457.4,325.4,-5.22%,-9.91%,-20.45%,-20.45%,-20.45%,1.73,-,-,2.05%,-,360.03,-,49.08,-,100.00%
Gujarat State Fertilizers & Chemicals,https://scanx.trade/company/gujarat-state-fertilizers-chemicals-ltd,177.94,0.33%,176,"5,80,984","7,090.51",10.57,33.21,220.59,158.3,-2.97%,-11.97%,-12.70%,41.78%,146.97%,0.57,2.82%,10.51%,5.86%,13.52,184.72,194.38,48.15,67.10%,80.00%
Equitas Small Finance Bank,https://scanx.trade/company/equitas-small-finance-bank-ltd,61.95,0.41%,61.99,"19,88,186","7,065.42",-77.06,9.52,75.5,50,-4.65%,7.01%,-4.93%,14.40%,69.73%,1.2,1.62%,13.39%,6.17%,5.57,60.57,60.39,56.7,68.51%,80.00%
Sudeep Pharma,https://scanx.trade/company/sudeep-pharma-ltd,622.5,-0.99%,632,"2,71,195","7,031.05",51.49,17.31,795,620,-19.59%,-19.59%,-19.59%,-19.59%,-19.59%,12.16,-,-,34.79%,-,-,-,23.93,-,-
Akums Drugs & Pharma,https://scanx.trade/company/akums-drugs-pharma-ltd,446.4,0.02%,449.9,"1,15,119","7,026.07",21.74,17.31,678.4,405,7.81%,-4.21%,-25.09%,-43.94%,-43.94%,2.23,-,0.11%,11.80%,-,439.84,492.6,60.54,60.00%,80.00%
Welspun Enterprises,https://scanx.trade/company/welspun-enterprises-ltd,505.8,-2.03%,515.2,"81,877","7,000.97",18.69,-2.85,655,400.05,-4.93%,-5.71%,-14.25%,228.23%,495.76%,2.66,0.57%,28.98%,16.52%,24.3,535.73,506.57,40.4,50.00%,70.00%
Balu Forge Industries,https://scanx.trade/company/balu-forge-industries-ltd,610.85,-0.27%,611.55,"6,35,294","6,963.20",28.64,20.81,817.9,428.4,-1.67%,-3.51%,-19.97%,121.72%,121.72%,5.59,0.02%,-,24.75%,-,624.46,626.2,44.1,-,-
Prism Johnson,https://scanx.trade/company/prism-johnson-ltd,138.25,-3.36%,143.49,"7,50,259","6,958.90",44.1,30.98,177.11,105.3,-0.55%,-17.51%,-20.69%,31.35%,55.77%,4.92,-,9.85%,5.72%,-,141.37,143.9,51.72,65.48%,-
Garware Technical Fibres,https://scanx.trade/company/garware-technical-fibres-ltd,699.25,1.33%,689.65,"38,891","6,941.16",33.61,25.18,985.55,646.55,-1.40%,-10.77%,-17.95%,12.78%,60.40%,5.28,0.22%,16.94%,25.16%,106.83,719.22,815.48,51.95,50.00%,-
Arvind Fashions,https://scanx.trade/company/arvind-fashions-ltd,517.3,0.25%,516,"1,17,188","6,904.58",125.34,41.17,579,320.2,4.42%,-6.07%,-1.46%,60.23%,246.39%,6.96,0.31%,8.94%,19.89%,5.7,506.16,480.64,56.45,50.00%,70.00%
Redtape,https://scanx.trade/company/redtape-ltd,123.18,-0.62%,125.19,"1,23,100","6,809.48",37.91,41.17,228.5,119.51,-6.10%,-20.01%,-43.18%,-75.06%,-75.06%,7.99,1.82%,29.82%,25.07%,12.75,130.89,135.89,38.33,50.00%,-
EPL,https://scanx.trade/company/epl-essel-propack-ltd,212.23,-0.64%,214.35,"2,84,633","6,793.61",16.37,13.6,273.5,175.28,4.91%,0.01%,-20.60%,28.12%,-18.90%,2.6,2.34%,10.05%,18.76%,8.17,204.53,216.66,54.83,66.98%,80.00%
Tips Music,https://scanx.trade/company/tips-industries-ltd,528.4,0.58%,529.75,"1,37,935","6,786.06",38.75,11.32,817.45,483,6.34%,-9.30%,-34.26%,200.47%,2034.09%,26.18,1.33%,70.85%,97.14%,11.24,523.63,601.38,47.11,50.00%,65.00%
Network18 Media & Investments,https://scanx.trade/company/network-18-media-ltd,43.94,0.71%,43.85,"32,49,527","6,775.55",-5.44,11.32,76.61,39.66,-2.09%,-18.43%,-40.19%,-30.14%,19.89%,1.36,-,-0.34%,-25.64%,-,45.79,50.09,49.33,60.00%,70.00%
Ajax Engineering,https://scanx.trade/company/ajax-engineeringltd,591.55,-0.99%,595.5,"30,526","6,767.73",27.18,38.24,756.2,549.1,-4.72%,-9.06%,-0.65%,-0.65%,-0.65%,5.45,-,-,29.95%,-,612.38,645,41.95,65.00%,70.00%
Saregama India,https://scanx.trade/company/saregama-india-ltd,350.15,-0.04%,350.3,"4,04,005","6,751.22",33.36,11.32,603.8,340.3,-5.51%,-26.50%,-26.61%,-4.34%,404.68%,4.36,1.28%,13.42%,16.81%,9.9,400.16,480.44,35.33,65.34%,80.00%
Ahluwalia Contracts,https://scanx.trade/company/ahluwalia-contracts-ltd,"1,007.10",3.32%,974,"1,08,039","6,746.32",24.9,-2.85,"1,125.00",620,1.39%,-0.81%,-4.59%,125.81%,300.92%,3.4,0.06%,15.79%,14.48%,32,957.38,933.32,57.78,50.00%,100.00%
Aarti Pharma Labs,https://scanx.trade/company/aarti-pharma-labs-ltd,742.5,-2.28%,759,"84,197","6,730.11",28.75,17.31,971,568.1,9.06%,-13.42%,26.91%,157.59%,157.59%,3.37,0.66%,12.34%,17.23%,24.86,764.46,817.53,49.28,50.00%,75.00%
Thomas Cook,https://scanx.trade/company/thomas-cook-india-ltd,142.85,-0.06%,143.2,"3,18,688","6,719.39",26.12,54.71,206.78,118.25,-7.23%,-14.41%,-27.73%,102.77%,211.90%,3.81,0.31%,13.34%,14.79%,5.56,152.31,156.02,43.47,61.26%,80.00%
Ganesh Housing,https://scanx.trade/company/ganesh-housing-corporation-ltd,803.2,-0.22%,804.95,"48,587","6,697.65",12.73,-2.85,"1,485.00",779.15,1.79%,-6.72%,-30.35%,138.09%,2470.24%,3.03,0.62%,29.72%,38.68%,49.55,821.04,930.3,45.42,50.00%,70.00%
Cera Sanitaryware,https://scanx.trade/company/cera-sanitaryware-ltd,"5,181.00",-1.31%,"5,260.00","24,533","6,682.22",27.28,-22.23,"7,739.50","5,060.05",-5.77%,-15.38%,-29.45%,-0.49%,50.65%,5,1.24%,17.76%,21.33%,177.56,"5,668.71","6,092.75",35.25,68.67%,80.00%
Kirloskar Pneumatic Company,https://scanx.trade/company/kirloskar-pneumatic-company-ltd,"1,028.20",0.38%,"1,024.30","45,419","6,674.41",35.71,37.99,"1,610.00",953,-3.75%,-16.97%,-34.77%,67.68%,67.68%,5.83,0.98%,10.47%,24.71%,22.88,"1,089.19","1,213.31",41.9,50.00%,70.00%
Isgec Heavy Engineering,https://scanx.trade/company/isgec-heavy-engineering-ltd,906.55,-0.02%,925,"1,25,271","6,665.82",28.84,14.23,"1,532.00",748.05,9.68%,-4.12%,-39.00%,95.08%,58.22%,2.44,0.54%,9.73%,13.99%,35.15,850.03,"1,027.57",63.95,63.61%,-
Mastek,https://scanx.trade/company/mastek-ltd,"2,144.90",-0.04%,"2,145.80","2,43,937","6,643.77",18.18,40.47,"3,135.00","1,887.00",-4.62%,-3.13%,-27.64%,33.01%,95.48%,2.48,1.07%,17.48%,17.14%,98.56,"2,180.93","2,315.42",44.03,66.08%,80.00%
Keystone Realtors,https://scanx.trade/company/keystone-realtors-ltd,526.15,0.97%,523.75,"17,213","6,634.41",53.73,-2.85,697,480.05,-4.80%,-14.08%,-21.15%,5.16%,-5.51%,2.37,0.29%,4.71%,9.32%,7.23,546.78,568.82,42.01,50.00%,-
FDC,https://scanx.trade/company/fdc-fairdeal-corporation-ltd,407.25,-0.46%,411.75,"39,539","6,630.44",29.64,17.31,527.8,366.25,-0.53%,-14.75%,-18.48%,49.64%,23.04%,2.75,1.22%,9.78%,15.38%,19.31,422.03,445.19,38.57,70.00%,80.00%
Yatharth Hospital,https://scanx.trade/company/yatharth-hospital-ltd,685.8,-0.51%,685.7,"2,28,621","6,607.98",43.56,-84.21,843.7,345.6,-12.46%,-12.63%,10.80%,105.42%,105.42%,3.93,-,35.95%,10.89%,14.66,750.02,628,41.55,50.00%,75.00%
Fujiyama Power Systems,https://scanx.trade/company/fujiyama-power-systems-ltd,215.23,0.73%,210.99,"7,86,458","6,594.88",-,2.59,230.99,192,-1.05%,3.26%,3.26%,3.26%,3.26%,-,-,-,17.62%,-,-,-,59.73,-,-
Lloyds Engineering Works,https://scanx.trade/company/lloyds-steel-industries-ltd,56.13,-0.88%,56.91,"15,50,643","6,540.29",47.03,38.24,84.27,44.51,7.98%,-7.13%,-14.90%,280.03%,6829.63%,5.61,0.37%,19.42%,21.13%,0.77,56.01,60.11,54.46,36.00%,65.00%
Aditya Vision,https://scanx.trade/company/aditya-vision-ltd,507.95,-0.14%,508,"77,121","6,535.44",60.73,41.17,598.7,327.6,-6.81%,-12.26%,-1.33%,14.60%,14.60%,10.27,0.22%,-,22.86%,-,531.59,463.17,46.83,50.00%,70.00%
Archean Chemical Industries,https://scanx.trade/company/archean-chemical-industries-ltd,528.7,0.95%,523.6,"2,02,376","6,525.62",37.81,205.33,727.6,408.35,-1.48%,-25.32%,-20.38%,7.35%,15.40%,3.39,0.57%,18.75%,10.56%,21.88,572.03,618.4,49.76,50.00%,75.00%
Suprajit Engineering,https://scanx.trade/company/suprajit-engineering-ltd,475.55,-0.05%,473.45,"47,966","6,522.69",40.89,176.6,517.65,350,5.20%,-3.59%,1.06%,45.72%,149.70%,4.79,0.63%,12.42%,15.97%,12.08,455.01,440.64,58.67,50.00%,-
IFB Industries,https://scanx.trade/company/ifb-industries-ltd,"1,607.70",-2.65%,"1,653.20","16,296","6,514.21",52.71,57.25,"2,019.80","1,060.00",-6.08%,-12.62%,-14.61%,79.21%,43.37%,7.25,-,7.02%,17.13%,21.85,"1,725.23","1,507.27",45.45,50.00%,75.00%
Dynamatic Technologies,https://scanx.trade/company/dynamatic-technologies-ltd,"9,579.00",-0.96%,"9,731.50","56,952","6,505.52",194.88,38.24,"9,912.00","5,444.15",6.81%,38.10%,9.64%,301.60%,1135.76%,8.59,0.02%,18.24%,10.93%,74.19,"8,863.35","7,278.41",57.21,50.00%,65.00%
PNC Infratech,https://scanx.trade/company/pnc-infratech-ltd,251.91,-0.54%,253.51,"1,95,493","6,462.48",8.08,-2.85,338.8,240,0.06%,-17.28%,-18.24%,-10.69%,48.23%,0.98,0.24%,15.37%,13.02%,50.83,264.95,284.79,45.36,60.00%,70.00%
PC Jeweller,https://scanx.trade/company/pc-jeweller-ltd,9.28,-2.01%,9.51,"5,40,03,740","6,423.76",11.27,15.55,19.65,9.35,-9.37%,-30.38%,-44.63%,25.92%,272.69%,0.95,-,-,8.05%,-,11.03,12.85,25.56,50.00%,70.00%
Valor Estate,https://scanx.trade/company/db-realty-ltd,118.85,-1.80%,121.4,"10,77,618","6,408.44",217.14,-2.85,252.67,99.81,-9.85%,-30.81%,-23.21%,30.39%,934.38%,1.62,-,-,-1.46%,-,136.09,160.32,39.25,-,-
India Glycols,https://scanx.trade/company/india-glycols-ltd,"1,027.40",-2.27%,"1,051.00","85,959","6,361.97",27.24,42.5,"1,222.00",503.53,-9.37%,17.44%,60.01%,179.35%,612.73%,2.47,0.44%,8.43%,11.85%,58.86,"1,042.63",881.7,43.15,63.71%,80.00%
Sheela Foam,https://scanx.trade/company/sheela-foam-ltd,579.4,-2.05%,591.15,"69,265","6,298.70",112.38,41.09,"1,058.70",560.15,-3.09%,-15.96%,-40.11%,-55.25%,-31.02%,2.09,-,6.53%,5.76%,12.09,630.45,672.51,38.86,71.53%,80.00%
Park Medi World,https://scanx.trade/company/park-medi-world-ltd,145.47,-1.95%,148,"8,13,830","6,283.30",30.09,-84.21,165.87,138.1,-1.68%,-1.68%,-1.68%,-1.68%,-1.68%,3.51,-,-,21.95%,-,-,-,-,-,-
Shilpa Medicare,https://scanx.trade/company/shilpa-medicare-ltd,321.25,0.77%,320.9,"2,14,043","6,283.07",45.66,25.01,"1,000.00",277.5,-8.20%,-20.90%,-16.19%,127.27%,45.08%,2.57,0.16%,-,7.50%,-,350.81,385.7,38.2,-,-
Rajesh Exports,https://scanx.trade/company/rajesh-exports-ltd,212.78,-5.00%,212.78,"32,176","6,282.54",49.97,15.55,261.8,151.11,11.15%,11.41%,-7.05%,-68.42%,-56.33%,0.4,-,-,1.50%,-,188.85,189.69,60.25,-,-
Mahindra Holidays,https://scanx.trade/company/mahindra-holidays-ltd,308.35,-0.48%,312.8,"52,598","6,229.19",47.29,281.14,389.65,259,-3.32%,-12.92%,-15.08%,22.26%,130.28%,-19.32,-,21.76%,3.91%,6,320.53,335.08,43.3,50.00%,-
Greenlam Industries,https://scanx.trade/company/greenlam-industries-ltd,244,0.27%,240.95,"12,656","6,225.60",206.82,41.09,312,197.42,-1.15%,-1.37%,-10.29%,53.12%,222.54%,5.48,0.16%,12.82%,8.69%,9.84,254.13,243.46,44.24,50.00%,-
Oswal Pumps,https://scanx.trade/company/oswal-pumps-ltd,543,-0.02%,546,"2,49,667","6,188.97",18.39,53.84,888.4,486.2,-5.29%,-28.90%,-13.17%,-13.17%,-13.17%,4.13,-,-,81.49%,-,621.24,-,44.18,-,70.00%
Hindustan Foods,https://scanx.trade/company/hindustan-foods-ltd,517.1,1.45%,509.25,"76,531","6,178.40",48.13,29.73,608,421.5,-5.14%,-4.45%,-1.81%,-13.13%,99.11%,5.85,-,18.97%,14.09%,8.46,531.05,539.02,42.46,50.00%,-
JK Paper,https://scanx.trade/company/jk-paper-ltd,364.05,0.01%,366.95,"1,10,012","6,167.09",20.14,160.41,444.8,275.75,0.82%,-4.87%,-15.95%,-7.38%,242.96%,1.13,1.38%,21.74%,8.79%,56.25,377.23,363.55,47.18,66.85%,80.00%
Just Dial,https://scanx.trade/company/just-dial-ltd,722.6,-1.10%,730.65,"40,030","6,145.33",17.1,41.09,"1,096.00",701.5,-3.59%,-12.32%,-27.99%,25.00%,17.11%,1.54,-,9.02%,11.19%,16.4,749.07,840.58,44.49,65.51%,80.00%
Canara Robeco Asset Management Company,https://scanx.trade/company/canara-robeco-asset-management-company-ltd,307.95,0.90%,305,"8,13,814","6,141.06",30.57,-3.94,353.4,274.3,2.92%,2.50%,2.50%,2.50%,2.50%,8.97,0.82%,-,43.86%,-,-,-,58.13,-,75.00%
Raymond Lifestyle,https://scanx.trade/company/raymond-lifestyle-ltd,"1,006.60",-0.87%,"1,010.00","1,24,867","6,132.57",83.25,25.18,"2,164.30",911.35,-8.06%,-20.34%,-50.00%,-64.91%,-64.91%,0.64,-,-,2.46%,-,"1,127.70","1,124.43",37.6,60.00%,70.00%
Praj Industries,https://scanx.trade/company/praj-industries-ltd,333.1,-0.40%,335.9,"3,94,033","6,122.81",58.24,38.24,875,293.4,1.14%,-9.83%,-59.11%,-2.60%,207.86%,4.72,1.79%,22.23%,20.40%,15.6,330.75,432.31,52.32,66.27%,80.00%
Midwest,https://scanx.trade/company/midwest-ltd,"1,687.20",3.80%,"1,656.00","3,27,855","6,101.05",44.11,41.09,"1,637.80","1,048.50",42.50%,47.94%,47.94%,47.94%,47.94%,7.26,-,-,23.76%,-,-,-,68.4,-,70.00%
Aurionpro Solutions,https://scanx.trade/company/aurionpro-solutions-ltd,"1,101.40",-2.24%,"1,135.00","86,930","6,081.22",30.47,40.47,"1,887.85","1,005.90",1.43%,-6.45%,-37.42%,568.61%,2180.33%,3.88,0.30%,19.78%,14.73%,27.64,"1,126.83","1,320.19",47.6,50.00%,70.00%
Wakefit Innovations,https://scanx.trade/company/wakefit-innovations-ltd,186.01,-0.79%,184.7,"3,38,690","6,079.34",-175,-5.67,203.5,177,-3.27%,-3.27%,-3.27%,-3.27%,-3.27%,6.45,-,-,-0.74%,-,-,-,-,-,-
Fiem Industries,https://scanx.trade/company/fiem-industries-ltd,"2,306.20",-3.66%,"2,393.70","68,351","6,069.84",27.77,176.6,"2,445.00","1,255.10",3.89%,12.18%,48.84%,163.05%,798.82%,5.84,1.25%,18.70%,25.50%,68.05,"2,204.63","1,882.39",52.08,50.00%,65.00%
NIIT Learning Systems,https://scanx.trade/company/niit-learning-systems-ltd,437,1.03%,430.1,"69,897","5,989.95",28.88,29.97,499,300.05,15.29%,33.41%,-1.84%,14.10%,14.10%,4.47,0.68%,24.95%,23.37%,16.45,366.17,356.94,70.74,68.11%,-
Mishra Dhatu Nigam,https://scanx.trade/company/midhani-mishra-dhatu-nigam-ltd,318.6,2.33%,311.95,"9,48,314","5,968.65",54.19,25.38,469,226.93,-2.58%,-19.32%,-6.84%,57.14%,54.74%,4.05,0.48%,12.16%,8.36%,4.18,344.37,364.55,49.95,62.42%,80.00%
