Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
WomanCart,https://scanx.trade/company/womancart-ltd,285.55,-2.04%,301,"26,400",180.1,27.14,41.17,437.15,211.15,-11.81%,19.70%,-10.19%,132.44%,132.44%,2.61,-,-,13.92%,-,296.47,269.81,43.88,-,-
Maral Overseas,https://scanx.trade/company/maral-overseas-ltd,43.38,-3.04%,44.8,"40,058",180.06,-7.1,17.79,90.6,42.32,-5.53%,-9.49%,-50.57%,-30.20%,81.13%,2.01,-,-7.42%,3.31%,-,46.98,60.51,37.29,50.00%,-
ShreeOswal Seeds And Chemicals,https://scanx.trade/company/shree-oswal-seeds-and-chemicals-ltd,19.68,1.86%,20.28,"12,35,377",180.01,17.72,41.09,20.93,10.72,40.07%,26.89%,-2.48%,-43.48%,186.46%,3.7,-,-,20.39%,-,14.71,14.36,80.83,-,-
Tips Films,https://scanx.trade/company/tips-films-ltd,416.15,-3.74%,434.4,"3,298",179.9,-4.2,11.32,718,363.6,9.03%,-6.27%,-34.43%,-5.18%,-2.65%,5.22,-,-,-90.71%,-,417.64,485.64,49.69,-,-
Natural Capsules,https://scanx.trade/company/natural-capsules-ltd,173.83,-1.05%,177,"3,194",179.76,-15.19,17.31,296,164,-3.64%,-19.74%,-30.34%,-30.34%,-30.34%,0.8,-,-,2.85%,-,195.69,209.16,37.25,-,-
Premier Roadlines,"https://scanx.trade/company/premier-roadlines-ltd
",78.5,0.64%,77.65,"2,000",179.47,11.34,41.09,139,75.15,-4.27%,-4.33%,-34.58%,-14.07%,-14.07%,2,-,26.58%,22.93%,5.52,81.96,88.39,45.85,-,-
Archidply,https://scanx.trade/company/archidply-ltd,90.07,-0.18%,89.98,"13,793",178.92,131.88,41.09,127.4,79.5,-0.95%,-13.27%,-27.97%,30.63%,218.27%,1.69,-,-,5.76%,-,94.78,97.65,44.7,0.00%,-
Prajay Engineers Syndicate,https://scanx.trade/company/prajay-engineers-syndicate-ltd,25.49,-1.77%,26.09,"27,598",178.27,-6.43,-2.85,34.89,17.12,-16.97%,4.34%,-8.21%,64.98%,133.85%,0.37,-,-,-4.39%,-,29.12,23.93,30.69,-,-
North Eastern Carrying Corp.,https://scanx.trade/company/north-eastern-carrying-corporation-ltd,18.54,0.05%,18.24,"31,631",177.9,25.37,41.09,39,18.1,-8.22%,-14.92%,-48.60%,-20.53%,97.23%,0.83,-,-,19.98%,-,20.21,22.05,38.03,50.00%,-
Jullundur Motor Agency,https://scanx.trade/company/jullundur-motor-agency-ltd,77.72,0.56%,79,"4,902",177.52,6.21,176.6,111.99,64.3,-9.83%,-14.68%,-20.23%,17.22%,137.31%,0.69,2.59%,11.31%,14.08%,11.35,85.71,88.72,37.56,50.00%,-
Sheetal Universal,https://scanx.trade/company/sheetal-universal-ltd,154.45,1.91%,152,"14,000",176.94,18.66,18.01,159,60.2,9.00%,19.40%,114.07%,104.84%,104.84%,3.96,-,-,30.58%,-,145.01,124.28,68.74,-,-
QMS Medical Allied Services,https://scanx.trade/company/qms-medical-allied-services-ltd,91.35,-1.46%,93.15,"7,000",176.65,12.98,41.17,120,72.35,-0.16%,-8.56%,-15.02%,-49.25%,-28.86%,1.7,-,9.06%,19.97%,5.04,96.69,90.66,44.31,-,-
